start_station,start_lat,start_lng,end_station,end_lat,end_lng,Service:Company,Service:Type,route_count
Hoogkarspel,52.69055557251,5.1838889122009,Purmerend Overwhere,52.511390686035,4.9683332443237,NS,Stopbus ipv trein,53
Utrecht Centraal,52.088890075684,5.1102776527405,Den Haag HS,52.069721221924,4.3225002288818,NS,Intercity,164
Amsterdam Centraal,52.378887176514,4.9002776145935,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,NS,Sprinter,4
Roosendaal,51.540279388428,4.4583334922791,Breda,51.595554351807,4.7800002098083,NS,Sprinter,259
Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Snelbus ipv trein,1
Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Intercity,11
Amersfoort Schothorst,52.174822137451,5.4038887023926,Duivendrecht,52.323333740234,4.9363889694214,NS,Intercity,1
Vlissingen,51.445835113525,3.5952777862549,Goes,51.498054504395,3.8905556201935,NS,Intercity,12
Zwolle,52.504722595215,6.0919442176819,Dronten,52.5344,5.72089,NS,Snelbus ipv trein,2
Maastricht,50.850276947021,5.7055554389954,Roermond,51.193054199219,5.9941668510437,NS,Intercity,232
Zevenaar,51.923053741455,6.0719442367554,Arnhem Centraal,51.985000610352,5.8991665840149,Arriva,Stopbus ipv trein,45
Enkhuizen,52.699165344238,5.286388874054,Zaandam Kogerveld,52.456665039062,4.8202776908875,NS,Intercity,1
Zwolle,52.504722595215,6.0919442176819,Deventer,52.257499694824,6.1605553627014,NS,Snelbus ipv trein,538
Amersfoort Centraal,52.153888702393,5.3705554008484,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Intercity,243
Amersfoort Centraal,52.153888702393,5.3705554008484,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity direct,16
Schagen,52.784442901611,4.8052778244019,Alkmaar,52.63777923584,4.7397222518921,NS,Intercity,4
Amersfoort Centraal,52.153888702393,5.3705554008484,Deventer,52.257499694824,6.1605553627014,NS,Intercity,247
Almelo,52.358055114746,6.6538887023926,Mariënberg,52.50944519043,6.5752778053284,Blauwnet,Stoptrein,754
Assen,52.991664886475,6.5708332061768,Groningen Europapark,53.20480027,6.5854178,NS,Sprinter,5
's-Hertogenbosch,51.69048,5.29362,Tilburg,51.560554504395,5.0836110115051,NS,Stopbus ipv trein,9
Voorhout,52.224445343018,4.4844446182251,Haarlem,52.38777923584,4.6383333206177,NS,Intercity,2
Eindhoven Centraal,51.443332672119,5.4813890457153,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity direct,99
Zwolle,52.504722595215,6.0919442176819,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity,281
Leiden Centraal,52.166110992432,4.4816665649414,Schiphol Airport,52.30944442749,4.7619442939758,NS,Intercity,31
Rhenen,51.958610534668,5.5783333778381,Driebergen-Zeist,52.065277099609,5.25861120224,NS,Snelbus ipv trein,2
Barendrecht,51.854721069336,4.5533332824707,Dordrecht,51.807220458984,4.668333530426,NS,Intercity,1
Haarlem,52.38777923584,4.6383333206177,Leiden Centraal,52.166110992432,4.4816665649414,NS,Stopbus ipv trein,288
Venlo,51.363609313965,6.1727776527405,Mook-Molenhoek,51.766262,5.879133,Arriva,Stoptrein,18
Mook-Molenhoek,51.766262,5.879133,Venlo,51.363609313965,6.1727776527405,Arriva,Stoptrein,12
Roosendaal,51.540279388428,4.4583334922791,Vlissingen,51.445835113525,3.5952777862549,NS,Extra trein,2
Arnhem Centraal,51.985000610352,5.8991665840149,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,NS,Intercity,32
Apeldoorn,52.209167480469,5.9702777862549,Enschede,52.222499847412,6.8899998664856,NS,Snelbus ipv trein,1
Deventer,52.257499694824,6.1605553627014,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Intercity,2774
Groningen,53.210556030273,6.5647220611572,Winschoten,53.1392377,7.035101,Arriva,Snelbus ipv trein,75
Amersfoort Centraal,52.153888702393,5.3705554008484,Baarn,52.208332061768,5.2808332443237,NS,Stopbus ipv trein,1414
Roodeschool,53.421262,6.7587,Groningen,53.210556030273,6.5647220611572,Arriva,Stoptrein,8658
Velp,51.994720458984,5.9802780151367,Arnhem Centraal,51.985000610352,5.8991665840149,NS,Intercity,1
Sneek,53.0328688,5.6523969,Leeuwarden,53.195835113525,5.7922220230103,Arriva,Stoptrein,3459
Venlo,51.363609313965,6.1727776527405,Nijmegen,51.843612670898,5.8522224426269,Arriva,Snelbus ipv trein,122
Weesp,52.3127784729,5.0430555343628,Amersfoort Centraal,52.153888702393,5.3705554008484,NS,Sprinter,25
Nunspeet,52.370834350586,5.7852778434753,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Intercity,1
Rotterdam Centraal,51.92499923706,4.468888759613,Gouda,52.017501831055,4.7044444084167,NS,Intercity,85
Alkmaar,52.63777923584,4.7397222518921,Schagen,52.784442901611,4.8052778244019,NS,Snelbus ipv trein,26
Schiphol Airport,52.30944442749,4.7619442939758,Groningen Europapark,53.20480027,6.5854178,NS,Intercity,1
Tilburg,51.560554504395,5.0836110115051,'s-Hertogenbosch,51.69048,5.29362,NS,Snelbus ipv trein,864
Delft,52.00666809082,4.3563890457153,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Extra trein,1
Hillegom,52.302501678467,4.5655555725098,Leiden Centraal,52.166110992432,4.4816665649414,NS,Intercity,1
Nieuwerkerk a/d IJssel,51.965278625488,4.6169443130493,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Sprinter,73
Den Haag Mariahoeve,52.090557098389,4.3694443702698,Dordrecht,51.807220458984,4.668333530426,NS,Sprinter,31
Groningen,53.210556030273,6.5647220611572,Hurdegaryp,53.2187783,5.934543,Arriva,Stoptrein,181
Tilburg,51.560554504395,5.0836110115051,Eindhoven Centraal,51.443332672119,5.4813890457153,NS,Intercity,241
Den Haag Centraal,52.080276489258,4.3249998092651,Hoogeveen,52.733890533447,6.4736108779907,NS,Intercity,18
Maarheeze,51.304986,5.629796,Weert,51.248611450195,5.7036108970642,NS,Intercity,1
Den Haag Centraal,52.080276489258,4.3249998092651,Den Haag Mariahoeve,52.090557098389,4.3694443702698,NS,Sprinter,10
Rijswijk,52.039722442627,4.3191666603088,Den Haag HS,52.069721221924,4.3225002288818,NS,Intercity,1
Breda,51.595554351807,4.7800002098083,Bergen op Zoom,51.49388885498,4.2961111068726,NS,Intercity,36
Enkhuizen,52.699165344238,5.286388874054,Purmerend Overwhere,52.511390686035,4.9683332443237,NS,Snelbus ipv trein,12
Geldermalsen,51.88301,5.27127,Hardinxveld-Giessendam,51.830554962158,4.8358335494995,R-net,Stopbus ipv trein,18
Arnemuiden,51.501667022705,3.6691665649414,Middelburg,51.494720458984,3.6172223091126,NS,Taxibus ipv trein,76
't Harde,52.4091682,5.893611,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Sprinter,186
Nijmegen,51.843612670898,5.8522224426269,Wijchen,51.811668395996,5.730833530426,NS,Snelbus ipv trein,1
Blerick,51.372501373291,6.1550002098083,Nijmegen,51.843612670898,5.8522224426269,Arriva,Stoptrein,191
Tilburg,51.560554504395,5.0836110115051,Gilze-Rijen,51.583610534668,4.9261112213135,NS,Stopbus ipv trein,1
Apeldoorn,52.209167480469,5.9702777862549,Enschede,52.222499847412,6.8899998664856,NS,Extra trein,1
Purmerend,52.50305557251,4.9536108970642,Schiphol Airport,52.30944442749,4.7619442939758,NS,Stopbus ipv trein,1
Arnhem Centraal,51.985000610352,5.8991665840149,Roosendaal,51.540279388428,4.4583334922791,NS,Intercity,415
Delft Campus,51.990833282471,4.3647222518921,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Extra trein,7
Rotterdam Centraal,51.92499923706,4.468888759613,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Intercity,141
Woerden,52.084999084473,4.8936109542847,Leiden Centraal,52.166110992432,4.4816665649414,NS,Stopbus ipv trein,11
Hoofddorp,52.293334960938,4.7005553245544,Leiden Centraal,52.166110992432,4.4816665649414,NS,Stopbus ipv trein,124
Ede-Wageningen,52.027778625488,5.6730556488037,Arnhem Centraal,51.985000610352,5.8991665840149,NS,Sprinter,10317
Tilburg Universiteit,51.564985,5.051778,Zutphen,52.145278930664,6.1941666603088,NS,Intercity,1
Apeldoorn,52.209167480469,5.9702777862549,Enschede,52.222499847412,6.8899998664856,NS,Sprinter,1975
Leiden Centraal,52.166110992432,4.4816665649414,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity,16
Tilburg,51.560554504395,5.0836110115051,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Intercity direct,133
Eindhoven Centraal,51.443332672119,5.4813890457153,'s-Hertogenbosch,51.69048,5.29362,NS,Sprinter,1058
Amersfoort Centraal,52.153888702393,5.3705554008484,Apeldoorn,52.209167480469,5.9702777862549,NS,Intercity,3
Zwolle,52.504722595215,6.0919442176819,Nijverdal,52.366111,6.462,Blauwnet,Intercity,132
Deventer,52.257499694824,6.1605553627014,Amersfoort Centraal,52.153888702393,5.3705554008484,NS,Intercity,247
Tiel,51.889446258545,5.4222221374512,Gouda,52.017501831055,4.7044444084167,NS,Sprinter,114
Groningen Europapark,53.20480027,6.5854178,Winschoten,53.1392377,7.035101,Arriva,Stoptrein,9
Almelo,52.358055114746,6.6538887023926,Mariënberg,52.50944519043,6.5752778053284,Arriva,Stopbus ipv trein,39
Gouda,52.017501831055,4.7044444084167,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity,81
Zaandam,52.438888549805,4.8136110305786,Hoorn Kersenboogerd,52.653610229492,5.0855555534363,NS,Intercity,2
Winschoten,53.1392377,7.035101,Groningen Europapark,53.20480027,6.5854178,Arriva,Stoptrein,28
Woerden,52.084999084473,4.8936109542847,Zaandam,52.438888549805,4.8136110305786,NS,Sprinter,68
Rilland-Bath,51.422779083252,4.1611108779907,Kruiningen-Yerseke,51.465000152588,4.0372223854065,NS,Extra trein,1
Deurne,51.455833435059,5.7888889312744,Eindhoven Centraal,51.443332672119,5.4813890457153,NS,Intercity,1
Amsterdam Centraal,52.378887176514,4.9002776145935,Amsterdam Amstel,52.346668243408,4.9177780151367,NS,Stopbus ipv trein,262
Rotterdam Centraal,51.92499923706,4.468888759613,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Sprinter,521
Alkmaar,52.63777923584,4.7397222518921,Hoorn,52.644721984863,5.0555553436279,NS,Sprinter,258
Schagen,52.784442901611,4.8052778244019,Alkmaar,52.63777923584,4.7397222518921,NS,Stopbus ipv trein,3
Zaandam,52.438888549805,4.8136110305786,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Intercity,29
Amsterdam Centraal,52.378887176514,4.9002776145935,Amsterdam Zuid,52.338889,4.872356,NS,Snelbus ipv trein,45
Dordrecht,51.807220458984,4.668333530426,Lage Zwaluwe,51.69111251831,4.6630554199219,NS,Sprinter,10
Amsterdam Centraal,52.378887176514,4.9002776145935,Weesp,52.3127784729,5.0430555343628,NS Int,ICE International,1
Amsterdam Centraal,52.378887176514,4.9002776145935,Purmerend Overwhere,52.511390686035,4.9683332443237,NS,Sprinter,3
Amersfoort Centraal,52.153888702393,5.3705554008484,Baarn,52.208332061768,5.2808332443237,NS,Intercity,1
Maastricht Randwyck,50.838611602783,5.7172222137451,Valkenburg,50.869720458984,5.8322219848633,Arriva,Stopbus ipv trein,12
Zaandam,52.438888549805,4.8136110305786,Enkhuizen,52.699165344238,5.286388874054,NS,Snelbus ipv trein,4
Rotterdam Centraal,51.92499923706,4.468888759613,Zaandam,52.438888549805,4.8136110305786,NS,Sprinter,73
Winterswijk,51.9677307,6.7155181,Apeldoorn,52.209167480469,5.9702777862549,Arriva,Stoptrein,257
Den Haag Mariahoeve,52.090557098389,4.3694443702698,Dordrecht,51.807220458984,4.668333530426,NS,Intercity,77
Bilthoven,52.130001068115,5.2038888931274,Amersfoort Centraal,52.153888702393,5.3705554008484,NS,Intercity,1
Utrecht Centraal,52.088890075684,5.1102776527405,Apeldoorn,52.209167480469,5.9702777862549,NS,Intercity,3
Den Helder,52.955276489258,4.7611112594605,Alkmaar,52.63777923584,4.7397222518921,NS,Sprinter,3
Zwolle,52.504722595215,6.0919442176819,Arnhem Presikhaaf,51.988056182861,5.9438886642456,NS,Intercity,1
